"cell","mean_S","tr_OmMLE","meanv2","delta_t2","delta_52","true_sd","est_sd","wR2","wR4","wR5","ref","defl_dec","size_dec","defl_edge","size_edge","R"
"B_n400_p100_lam416",4.86632543062111,6.02259150398715,0.281867143267559,0.0884763138031625,0.027666019479826,1.50066164595255,1.42943952587446,0.742903835437481,0.78755353660231,0.765690662182116,"R2",1.0854110932396,0.076,1.09748556346885,0.08,500
"B_n400_p100_lam416",4.86632543062111,6.02259150398715,0.281867143267559,0.0884763138031625,0.027666019479826,1.50066164595255,1.42943952587446,0.742903835437481,0.78755353660231,0.765690662182116,"R4",1.02262153726224,0.058,1.15383927398653,0.09,500
"B_n400_p100_lam416",4.86632543062111,6.02259150398715,0.281867143267559,0.0884763138031625,0.027666019479826,1.50066164595255,1.42943952587446,0.742903835437481,0.78755353660231,0.765690662182116,"R5",1.05495088285213,0.072,1.04042531102552,0.076,500
"B_n400_p100_lam416",4.86632543062111,6.02259150398715,0.281867143267559,0.0884763138031625,0.027666019479826,1.50066164595255,1.42943952587446,0.742903835437481,0.78755353660231,0.765690662182116,"R2nc",NA,0.074,NA,0.074,500
"B_n400_p100_lam416",4.86632543062111,6.02259150398715,0.281867143267559,0.0884763138031625,0.027666019479826,1.50066164595255,1.42943952587446,0.742903835437481,0.78755353660231,0.765690662182116,"R5nc",NA,0.068,NA,0.074,500
"B_n400_p100_lam1000",4.90976391024574,6.02923802321715,0.358769763787224,0.0892011055714685,0.0473372956704539,1.50066164595255,1.34734221832475,0.733578474636636,0.785827965866498,0.759111277723748,"R2",1.10064680161489,0.072,1.20760745043592,0.082,500
"B_n400_p100_lam1000",4.90976391024574,6.02923802321715,0.358769763787224,0.0892011055714685,0.0473372956704539,1.50066164595255,1.34734221832475,0.733578474636636,0.785827965866498,0.759111277723748,"R4",1.01878735590343,0.044,1.24164810476148,0.094,500
"B_n400_p100_lam1000",4.90976391024574,6.02923802321715,0.358769763787224,0.0892011055714685,0.0473372956704539,1.50066164595255,1.34734221832475,0.733578474636636,0.785827965866498,0.759111277723748,"R5",1.06551835037337,0.052,1.16265348522501,0.072,500
"B_n400_p100_lam1000",4.90976391024574,6.02923802321715,0.358769763787224,0.0892011055714685,0.0473372956704539,1.50066164595255,1.34734221832475,0.733578474636636,0.785827965866498,0.759111277723748,"R2nc",NA,0.062,NA,0.074,500
"B_n400_p100_lam1000",4.90976391024574,6.02923802321715,0.358769763787224,0.0892011055714685,0.0473372956704539,1.50066164595255,1.34734221832475,0.733578474636636,0.785827965866498,0.759111277723748,"R5nc",NA,0.05,NA,0.072,500
"B_n400_p40_lam416",5.73575043274032,7.24615695894806,0.174722896264032,0.0764969540065491,0.0382557451416238,1.48050886317036,1.4505032215715,0.793099060905299,0.839543805546463,0.752744394083925,"R2",0.9921778264713,0.054,0.992922521818537,0.048,500
"B_n400_p40_lam416",5.73575043274032,7.24615695894806,0.174722896264032,0.0764969540065491,0.0382557451416238,1.48050886317036,1.4505032215715,0.793099060905299,0.839543805546463,0.752744394083925,"R4",0.933351733731443,0.036,1.01524542563238,0.05,500
"B_n400_p40_lam416",5.73575043274032,7.24615695894806,0.174722896264032,0.0764969540065491,0.0382557451416238,1.48050886317036,1.4505032215715,0.793099060905299,0.839543805546463,0.752744394083925,"R5",1.04631930474195,0.066,1.04833727715004,0.054,500
"B_n400_p40_lam416",5.73575043274032,7.24615695894806,0.174722896264032,0.0764969540065491,0.0382557451416238,1.48050886317036,1.4505032215715,0.793099060905299,0.839543805546463,0.752744394083925,"R2nc",NA,0.052,NA,0.042,500
"B_n400_p40_lam416",5.73575043274032,7.24615695894806,0.174722896264032,0.0764969540065491,0.0382557451416238,1.48050886317036,1.4505032215715,0.793099060905299,0.839543805546463,0.752744394083925,"R5nc",NA,0.064,NA,0.05,500
"B_n400_p160_lam416",4.05851774574603,4.81070047584781,0.411760073522889,0.0879331744855365,0.0307154153244658,1.50418905403797,1.39420491888814,0.697525253881942,0.742801629359223,0.779709391862664,"R2",1.21228027744785,0.128,1.39495722667318,0.108,500
"B_n400_p160_lam416",4.05851774574603,4.81070047584781,0.411760073522889,0.0879331744855365,0.0307154153244658,1.50418905403797,1.39420491888814,0.697525253881942,0.742801629359223,0.779709391862664,"R4",1.14476296643542,0.084,1.47958124902861,0.13,500
"B_n400_p160_lam416",4.05851774574603,4.81070047584781,0.411760073522889,0.0879331744855365,0.0307154153244658,1.50418905403797,1.39420491888814,0.697525253881942,0.742801629359223,0.779709391862664,"R5",1.08454322204103,0.054,1.1997324884709,0.084,500
"B_n400_p160_lam416",4.05851774574603,4.81070047584781,0.411760073522889,0.0879331744855365,0.0307154153244658,1.50418905403797,1.39420491888814,0.697525253881942,0.742801629359223,0.779709391862664,"R2nc",NA,0.102,NA,0.088,500
"B_n400_p160_lam416",4.05851774574603,4.81070047584781,0.411760073522889,0.0879331744855365,0.0307154153244658,1.50418905403797,1.39420491888814,0.697525253881942,0.742801629359223,0.779709391862664,"R5nc",NA,0.05,NA,0.084,500
