"rep","cell","pen","S_unc","S_dec","S_edge","tr","p_unc","p_R0","p_R2","pe_unc","pe_R0","pe_R2","nb","nbt"
224,"B_p100","gridge",48.4433555237799,7.37368513517199,0.8301392844252,5.98272505592089,0,0.274509606805034,0.0930395735329572,0,0.570093653429111,0.423714584673075,0.207591716480475,2.56999402299161
225,"B_p100","gridge",51.8499141623755,3.01149884456516,0.54938146527996,6.06115696433893,0,0.859831830328465,0.705744558882995,0,0.710038188988787,0.585899055214227,0.217869428495636,2.33953162322878
226,"B_p100","gridge",48.769469723186,5.07714511887958,1.44901199539863,6.0927447631199,0,0.572972152596893,0.345867735215776,0,0.40045685464762,0.249768521113615,0.208426576989333,2.26728594489874
227,"B_p100","gridge",39.5458312875335,5.4828404674505,4.39945651451097,5.85664657974641,3.70051322917675e-10,0.483996463996958,0.256378942505549,0,0.049890089440252,0.0135538414130101,0.192810864839958,2.41595128560386
228,"B_p100","gridge",45.4885768591914,5.30641831322284,0.422528703753225,6.0605840636522,0,0.535992162216502,0.322728286032972,0,0.780667746196329,0.687661404304266,0.190194690665728,2.33653794591349
229,"B_p100","gridge",52.1284983327958,6.44772506503928,1.86883233043311,6.07069041130335,0,0.385844395906925,0.173718023594325,0,0.30548875056897,0.176827299521301,0.19545873115695,2.42840527784596
230,"B_p100","gridge",45.8832261252362,3.13132652700445,0.973098958765191,6.02633556965811,0,0.843040827604914,0.688056772554181,0,0.534810351839134,0.386266914148717,0.204979744151416,2.55985385365444
231,"B_p100","gridge",48.0899491828827,5.40220610974101,0.713934158966605,5.92000678454927,0,0.503490567224896,0.285371058534817,0,0.607298520525299,0.487651573752812,0.202668620405316,2.37311126635805
232,"B_p100","gridge",48.8803427339852,9.54583750415959,2.72715427281366,5.9811333031936,0,0.119677080838326,0.0225065351168707,0,0.165510393179432,0.0595786805269589,0.202316256586588,2.69827775910964
233,"B_p100","gridge",38.9697603767769,9.91139314417139,0.387581481154262,6.00990572701128,1.14311128340816e-08,0.105140836873048,0.0247990802506085,2.63179322779195e-09,0.784161450390409,0.700701018146386,0.189115859102953,2.39034143642036
234,"B_p100","gridge",52.6871266160895,3.59531650750594,0.190193221014991,6.14970435955363,0,0.792536522361296,0.597135375376284,0,0.90292233344361,0.846481355423665,0.200473516932924,2.52506597754156
235,"B_p100","gridge",48.3538754494955,6.2364958353493,0.599177604064175,6.02853215126427,0,0.406258497279219,0.179884125975659,0,0.690596476800753,0.561817619877261,0.194687414908218,2.64411354226827
236,"B_p100","gridge",40.080109260665,1.90678179953732,0.280387544112173,5.86233113136301,0,0.957783530393069,0.894156352269079,0,0.845329488738889,0.776226893271456,0.212405306161064,2.494629293581
237,"B_p100","gridge",39.0767062573177,3.87885903343476,0.216189612094958,5.95570029104736,5.07463082666249e-09,0.734867113047834,0.558935257139108,0,0.881339133226874,0.829191210448484,0.184498913948603,2.25260394920358
