"rep","cell","grouping","S_dec","S_edge","df_dec","df_edge","p_dec","p_edge","pnc_dec","pnc_edge","delta2_norm2","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10"
142,"B_p160_lam416","pc1",5.23227459032867,1.52821472980162,3.84768862906061,1.00047320946196,0.207950555841112,0.208718565092704,0.216803521714209,0.214541797603758,0.0541716003054902,0.307814095541841,0.236336305655955,-0.643004759914767,-0.0190267315651151,0.301993739559815,0.822451446158346,-0.33779241471549,-1.61457120306337,-0.121453486345313,1.0791346770393
142,"B_p160_lam416","oracleX",2.04599318876121,0.173936406424032,3.80233425354975,0.962976612289795,0.828002863930145,0.848534007725508,0.832266583862556,0.857512813687537,0.0322384850832309,0.212151106085871,0.144510004641176,0.309964240355407,-1.02906650176422,0.486870500579006,0.556529464812859,-0.338242722115619,-0.395948355005735,-0.00890231075885151,0.083760614743924
143,"B_p160_lam416","fitted",4.73000927016469,2.99535179599707,3.51503539276908,0.905861395234028,0.214906329143978,0.0351823969686117,0.221490869843308,0.0374861530218356,0.0376057916322981,0.47587805657224,0.283976881704865,-0.676828234561042,-0.659898229530605,-1.11107881362436,0.437742493144955,0.136148183522226,0.758149362658106,1.0330991790966,-0.665288678276749
143,"B_p160_lam416","heavyx5",4.66320316428205,3.25225622323214,3.5169820318263,0.869584023450644,0.224579007195295,0.0226728266723994,0.230643027740876,0.0245682180570543,0.0342978798166369,0.564436263833685,-0.195149666809265,-0.250940980140799,-0.409189984705145,-1.04300082844301,-0.196164821113432,0.721272531510834,0.477992671131616,1.20017822258449,-0.872154497374067
143,"B_p160_lam416","heavyx20",4.01725703980732,2.25556409395895,3.55373887878698,0.850092910318696,0.337762591428212,0.0684699046836716,0.343407263849546,0.0711683533243634,0.0277650360674744,0.0549621326462795,0.302677310185177,-0.593561615246549,-0.261363307868074,-0.693669873002833,-0.346028686279776,0.830947144637097,0.407986378806477,1.13291801366439,-0.872154497374067
143,"B_p160_lam416","heavyx100",3.47060225935182,2.09262308959116,3.57955888343901,0.863119986378263,0.45616344650297,0.0864559440845694,0.461480203075245,0.0892684701436087,0.0250719344921568,0.176160549970441,0.140367114434074,-0.299888384537765,-0.572527470301141,-0.653377102484453,-0.32045359670003,0.892676727076857,0.346012896477516,1.00611625897593,-0.737351551082108
143,"B_p160_lam416","pc1",2.25002853317586,1.09450704478587,3.53466917060459,0.939045723339931,0.746888342386982,0.310430348999503,0.750224210594091,0.314061375993012,0.020560096236562,-0.768261332042689,0.168569919839852,0.0388878978580075,0.57464180194362,-0.538568482094748,0.395261518202753,0.322930655388059,0.0618009943815703,0.453177801316823,-0.734779152853542
143,"B_p160_lam416","oracleX",4.30039797248978,3.35771057798096,3.55973307465409,0.846862820541281,0.288663023114543,0.0176863886536263,0.296057632005476,0.0197814797349777,0.0373589374630477,0.786678013970626,0.281259274513946,-0.971011039519041,-0.531167787908144,-0.959059625221253,-0.322480739409617,0.621351308700609,0.852112346894268,0.461057760973665,-0.16997319205819
144,"B_p160_lam416","fitted",6.3396009135468,0.726756372984802,4.08497076397886,1.00344850849071,0.133806772461254,0.486636267221652,0.13904788076503,0.488800872002851,0.0447815167532614,-0.045612524498329,-0.698758007932475,0.165721005550849,0.876582248695838,0.133210092958662,-1.60388575451654,-0.0777809726889549,1.10517963058151,0.840247761200774,-0.72781531237101
144,"B_p160_lam416","heavyx5",7.87637810456534,0.427145145927642,4.02880017061316,1.00340769985484,0.0483189158995069,0.658021754444319,0.0520930153956938,0.661875380115592,0.062383702795995,0.474171694268749,-1.34250794106883,0.393765898006228,1.22130136257088,0.0469629962853104,-1.590025326642,0.220345082123673,-0.131765547232425,1.18050597621168,-0.461181742405885
