"rep","cell","S_dec","tr0","tr2","tr5","v2","meanv","a_hat","s_hat","rho_hat","c_hat","sd_eta0","sd_eh","sd_et","est_signal_sd","norm_bh","norm_bt","df_M","p0","p2","p5","pcalm"
33,"B_k25_ar07",3.29992410342446,6.03939393478182,4.23151639090712,3.88112788606669,3.29992410342446,"0.13 -1.09 0.26 -0.06 0.27 0.91 -0.45 0.44 0.31 -0.8",0.318968406958305,0.370735130003411,0.652199337194484,6.28663691567194,2.23072327988588,0.508282031151051,1.61503944195465,2.00523856211715,0.262600298724738,2.82475106418919,15.3668822248102,0.82335527936849,0.619885340754304,0.55802704305888,0.600664299497203
34,"B_k25_ar07",8.29807501242394,5.98500495492234,4.27124422869579,3.92286448719506,8.29807501242394,"0.51 -0.29 -1.65 -0.52 1.85 -0.3 0 1.09 -0.35 -0.36",0.411867534994492,0.359025283708562,0.753807832021903,4.77329085756811,2.3053615682456,0.568297647623588,1.65022426728838,1.96596353931832,0.286907424978478,2.66176631184241,15.1969840605539,0.196084858327827,0.0498315070542272,0.0315369111866356,0.0435341042782128
35,"B_k25_ar07",2.22340679105034,6.0474872601254,4.2650156507739,3.96248071950113,2.22340679105034,"0.41 -0.62 0.02 -0.83 0.21 0.39 0.39 -0.05 0.59 -0.53",0.494567121009126,0.363352774190416,0.805883882302001,4.0611979634133,2.31788124824231,0.635476098848005,1.69802567802151,2.00853498461344,0.299488832307349,2.43626649832258,14.8122135414006,0.938574513128204,0.839728437679735,0.808844404430752,0.833810547172673
36,"B_k25_ar07",5.03931262724604,5.89252312796516,4.08405988143027,3.57135957310058,5.03931262724604,"0.46 -1.1 -0.36 0.1 1.55 -0.99 0.12 0.23 0.14 -0.16",0.466640662338004,0.406535956386593,0.753995968894324,4.84839737881039,2.29019463530915,0.639728361195229,1.72216852521331,2.26245936412592,0.293874161216976,2.80157059489413,14.98424796856,0.553128164288623,0.273685727292241,0.185897426961263,0.222180679571156
37,"B_k25_ar07",4.77751641821314,5.94323536603196,4.21614352877201,3.91839274679142,4.77751641821314,"0.5 -0.44 -0.56 -0.48 -1.06 -0.06 1.49 0.52 0.36 -0.19",0.365981974024795,0.371326664942128,0.701962578389965,5.32532289041501,2.33620651577454,0.54197163303483,1.64341184086954,1.94897218375351,0.275688988114598,2.75268599833055,15.1184303427238,0.599011565352799,0.336097985232635,0.282225047414298,0.324875943786616
38,"B_k25_ar07",7.53905063840087,6.01423246393281,4.17345727429638,3.71366388115355,7.53905063840087,"0.35 -0.9 0.04 -1.03 0.53 0.19 2.13 -0.62 -0.45 -0.3",0.494818433636724,0.396885110994261,0.780075811709424,4.47794113073806,2.50050659211804,0.655999918282469,1.73262881988399,2.21576781622926,0.301202205742585,2.7280059598949,14.9514987686023,0.262527721609387,0.0717424403167736,0.0402224326610083,0.054402516433416
39,"B_k25_ar07",4.06152363175405,5.9144863603768,4.00304403593919,3.29152220889799,4.06152363175405,"0.34 0.41 -0.85 -0.69 1.25 -0.49 0.32 -0.32 -0.47 0.59",0.377921736965119,0.413748207460508,0.674416924118052,6.70992861028519,2.41272420910378,0.580643925045333,1.72305190833888,2.53582787531093,0.280897914486064,2.93334572033204,15.0611158352959,0.703611337000144,0.421257294399963,0.273709949271311,0.315946276887946
40,"B_k25_ar07",10.1840921055607,5.99308672115828,4.29561783308913,3.90031997444746,10.1840921055607,"-1.03 0.14 1.52 -2.1 1.1 -0.21 0.46 0.31 0.47 -0.77",0.331145043630134,0.369853015487783,0.667045336124263,5.91435324426444,2.29781341591185,0.515912016566092,1.61860800015543,1.95850876311598,0.264794493649831,2.85004282456498,15.4432876305509,0.0929127961377485,0.0155215763032635,0.00771049007101088,0.0118237619185633
41,"B_k25_ar07",1.66480740297824,5.99700371956702,4.17346117679829,3.59770041169394,1.66480740297824,"-0.24 0.71 -0.71 -0.19 0.46 -0.08 0.15 0.34 -0.45 -0.01",0.370523805470815,0.383134713389917,0.695177505003689,6.13486754696356,2.21594955465251,0.55389290088122,1.67119528512148,2.27311446956034,0.279699933018925,2.95881219431084,15.1684691132872,0.974089505702145,0.921690367563907,0.88237036003791,0.89932129947444
42,"B_k25_ar07",2.71201068032079,5.90112976469427,4.14793970832932,3.83509512070977,2.71201068032079,"0.76 -0.52 0.19 -0.39 -0.72 0.04 0.22 -0.05 0.97 -0.42",0.458011654995552,0.394379233879008,0.757784911378328,4.4126599581517,2.38074078452062,0.624612412011094,1.68467260157355,2.02104969036567,0.287602285649916,2.60416005183619,14.9896176094976,0.885651905041551,0.731355151621138,0.684250817896788,0.719802623056108
