"rep","cell","grouping","prev","deg","hl","edge","S_p","tr_p","S_d","tr_d","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","pb1","pb2","pb3","pb4","pb5","pb6","pb7","pb8","pb9","pb10"
446,"k25_prev50","fitted",0.5225,2,0.199506546547592,0.627977420875865,0.123043574912688,0.467074552998324,5.98029526217387,4.08945064772489,-0.0895062046322548,0.86132039657257,-1.23067080296607,0.0847151133557098,-0.69837926740899,0.768608852486147,-0.526435639937177,1.08058880160803,0.605090613398951,-0.905123935935404,0.298464830953769,0.380229148217939,0.429426993299272,0.466805326938203,0.503264855405294,0.542192542665112,0.58034816369614,0.617141998248745,0.66574101959436,0.741385120981166
446,"k25_prev50","heavyx5",0.5225,2,0.411637297478723,0.796519588262749,0.0456519304837201,0.461999817996925,4.39978422038515,4.04115223219001,-0.21396533408798,1.13745051782304,-1.23682885727624,-0.121578725655211,-0.303824393439492,-0.257844179017983,0.411851396472513,0.657125310434697,0.562845356127713,-0.662313628855363,0.29883362279863,0.381430148405441,0.431924503516256,0.466603239563014,0.50178853288811,0.541837374918923,0.581461666095684,0.617102167904486,0.663602622547361,0.740416121362097
446,"k25_prev50","heavyx20",0.5225,2,0.544386169059125,0.813369763984452,0.040065170085881,0.456112275984066,3.67475278221691,4.00854748736041,-0.21396533408798,1.03386248222331,-0.675799601220353,-0.278244421716916,-0.476796733979183,-0.283098426852264,0.134482033521443,0.784734282327687,0.708119668764992,-0.763654572001451,0.29883362279863,0.382742656073581,0.432416527195342,0.466496585388636,0.502447834955317,0.540201847937163,0.581545341058462,0.617030625424228,0.663589054179487,0.739695904989154
446,"k25_prev50","pc1",0.5225,2,0.953718541203486,0.625637382798842,0.140477156716683,0.506514155130614,1.45765927640122,4.12220766042756,0.307463436235387,-0.36887034276572,-0.189473900494391,0.168425538026914,-0.335813266447068,-0.0571399428907362,0.452514985795722,0.689608964413208,-0.106098707506059,-0.595961295958566,0.353007331090804,0.395557692460495,0.43986229359929,0.485615883708598,0.507925615631215,0.532592734170361,0.549922141713481,0.610722839675879,0.647986585805223,0.701806882144655
447,"k25_prev50","fitted",0.5,3,0.230831420347756,0.723833600165745,0.320968858336019,0.754095574117626,4.84805337410985,3.47940430034962,0.238965816563681,-0.31758141926893,-0.917001110072353,0.148394653926362,1.28138170041302,-0.785394514120406,0.193298689713865,0.942530622251949,-0.801369410152081,-0.0217681361660804,0.250693031392645,0.329645869441598,0.383883889824772,0.433013759162314,0.479544703444369,0.517629030825017,0.560030920805263,0.613337365905426,0.676825493447938,0.75539593575066
447,"k25_prev50","heavyx5",0.5,3,0.503829816341506,0.914609883257049,0.0989920959369992,0.773339554444671,3.25696949459848,3.37221572681477,0.283648775855315,-0.596753132038154,-0.0645806445083825,-0.101249444238958,1.19362815144743,-0.692710237065847,-0.122897896780057,0.708491907982928,-0.619851137220561,-0.010035480337041,0.251320511947407,0.33188409911793,0.383457774290425,0.433049572849765,0.481759395617096,0.514985613804237,0.559457518661942,0.613163594958724,0.676620108275325,0.754301810477149
447,"k25_prev50","heavyx20",0.5,3,0.514203310341854,0.989591249194808,0.0177260642271758,0.782133774052632,3.24045240220962,3.40198529571238,0.141135815965558,-0.655776938053438,0.611780314068694,-0.629103017353293,1.09843132357448,-0.353354749568062,-0.310979862769377,0.526199605339599,-0.551721333729677,0.105081161973201,0.25263489728266,0.331782737717598,0.384165529285179,0.431963121192989,0.484353139695118,0.51529324568589,0.558803231745047,0.612137079946306,0.677959489506627,0.750907527942585
447,"k25_prev50","pc1",0.5,3,0.440571937311512,0.771426856740677,0.352852966440264,0.922408931627869,3.77889364347725,3.59900407096652,0.275521581003892,-0.451067454422403,1.05910850445154,-1.02029420229655,-0.143064974235558,0.402475565107264,0.327535667747003,0.321944532267859,-0.947941871026533,0.211737375744948,0.660649107883267,0.569331072473848,0.590597823548835,0.514686462700105,0.521791873690194,0.460471155510097,0.504111204386097,0.44478959765889,0.396695718465579,0.336875983683088
448,"k25_prev50","fitted",0.5125,2,0.925827065904238,0.815220651446918,0.0400052980186856,0.462880781521021,1.60540271603195,3.86616182400061,0.348329852274676,-0.702007045072369,0.164793681958912,0.353135415785954,0.141511101964774,0.548276559635275,-0.464792919723929,-0.275799638685088,-0.380933960115513,0.285573809199536,0.298639860775697,0.373142954972819,0.422797305367829,0.455631948050399,0.486391181246391,0.519476217896833,0.560187349393546,0.611122273591745,0.656106619988865,0.741504288715875
448,"k25_prev50","heavyx5",0.5125,2,0.982299618454062,0.804554283221422,0.0430590972900557,0.46005583474391,0.999433664683774,3.83969480689013,-0.0479182356423946,-0.204033053648186,0.495177154965909,0.138088767108396,-0.260803262655513,0.45841419800702,0.139413176898681,-0.472346972546774,-0.392299240113321,0.128960416745942,0.29976736920661,0.375239151788389,0.422658293262891,0.45384219244857,0.48923874615784,0.516945188750319,0.559551479945509,0.611116458385159,0.65514349590692,0.741497624147793
