"cell","grouping","S_dec","S_edge","tr_OmMLE","df_edge","tr_OmK","S_dec_unc","df_M","trV_M","v_hat","r2_hat","gamma_hat","df_F","trV_F","trW","norm_bhat","norm_btilde","rej_dec","rej_edge","defl_dec","defl_edge","cand_trV","n_minus_dfM","cand_df","n","p","cand_r2","R"
"B_n400_p100_lam416","oracle",5.55554072055163,2.00083762274872,6.02765826408128,1.55098984944606,8.09351819808769,67.8566060941458,15.3284527406747,90.7233180563516,0.226808295140879,0.204921333941976,0.168966374929737,101,70.4365686402903,94.34856472622,0.249110753543721,2.47268308302147,0.03,0.09,0.921674799259442,1.29003914723448,1.28801444771767,NA,1.28652691391079,400,100,0.868784107258507,500
"B_n400_p100_lam416","random",4.86632543062111,1.16055602125287,6.02259150398715,1.54773511221368,7.80149817223677,40.1831635601976,15.3284527406747,90.7233180563516,0.226808295140879,0.204921333941976,0.168966374929737,101,70.4365686402903,94.34856472622,0.249110753543721,2.47268308302147,0.018,0.024,0.808011871201864,0.749841502008029,1.28801444771767,NA,1.28652691391079,400,100,0.868784107258507,500
"B_n400_p100_lam50","debiased",11.4370990776485,6.75437201097229,5.97832026859636,1.56761097682505,7.12010861050864,70.039249483458,43.6716390486895,72.3982484237489,0.180995621059372,0.165283955432699,0.603483732688463,101,60.2301254986011,81.7335939620913,0.84167160616058,2.94267709844105,0.434,0.71,1.91309574659737,4.30870420711917,1.20202718862723,NA,1.19173364866659,400,100,0.808891166632703,500
"B_n400_p100_lam50","oracle",5.18202234384371,1.40265445306695,5.95252364565834,1.54687524428503,7.04952853036677,31.6387591681373,43.6716390486895,72.3982484237489,0.180995621059372,0.165283955432699,0.603483732688463,101,60.2301254986011,81.7335939620913,0.84167160616058,2.94267709844105,0.024,0.032,0.870558884318482,0.906766371915964,1.20202718862723,NA,1.19173364866659,400,100,0.808891166632703,500
"B_n400_p100_lam50","random",5.065935345566,1.38378864426254,5.99573071060916,1.57600981183035,6.90547153949802,27.6819143743324,43.6716390486895,72.3982484237489,0.180995621059372,0.165283955432699,0.603483732688463,101,60.2301254986011,81.7335939620913,0.84167160616058,2.94267709844105,0.02,0.03,0.844923761602912,0.87803301342105,1.20202718862723,NA,1.19173364866659,400,100,0.808891166632703,500
"B_n400_p160_lam416","debiased",25.7182544557071,18.9295609595151,4.85368613726341,1.27828018792615,7.9166106365157,175.606756424621,23.45673239883,88.1938079771061,0.220484519942765,0.198010165760021,0.265979897074986,161,55.8422617732329,93.7151132928721,0.270216945490932,3.04293112138427,1,1,5.29870571116234,14.8086164037525,1.579338034968,NA,1.57549484351954,400,160,0.845157878180069,500
"B_n400_p160_lam416","oracle",4.32441246841368,1.51881533005955,4.80978221350772,1.24459952509643,7.79653916599229,65.6578812336285,23.45673239883,88.1938079771061,0.220484519942765,0.198010165760021,0.265979897074986,161,55.8422617732329,93.7151132928721,0.270216945490932,3.04293112138427,0.036,0.062,0.899086959960279,1.22032452964489,1.579338034968,NA,1.57549484351954,400,160,0.845157878180069,500
"B_n400_p160_lam416","random",4.05851774574603,1.13188517891506,4.81070047584781,1.25231007975223,7.53173658087623,48.452862264206,23.45673239883,88.1938079771061,0.220484519942765,0.198010165760021,0.265979897074986,161,55.8422617732329,93.7151132928721,0.270216945490932,3.04293112138427,0.022,0.036,0.843643824038074,0.903837793223706,1.579338034968,NA,1.57549484351954,400,160,0.845157878180069,500
"B_n400_p40_lam416","debiased",9.73331847791336,4.93818989643738,7.24509468978659,1.85231661605396,8.43129711508382,93.7871674286676,6.88758876283388,93.7175270777597,0.234293817694399,0.214222315514986,0.0734973060427607,41,85.5636080633045,95.3568272232985,0.21912364187397,2.00067107199032,0.14,0.386,1.34343564779553,2.66595346261987,1.09529657758731,NA,1.09502064411467,400,40,0.898613436511842,500
"B_n400_p40_lam416","oracle",6.94194856439978,2.59781627886069,7.24355735870389,1.85214619983382,8.40685572660426,69.7194174856113,6.88758876283388,93.7175270777597,0.234293817694399,0.214222315514986,0.0734973060427607,41,85.5636080633045,95.3568272232985,0.21912364187397,2.00067107199032,0.034,0.092,0.95836178560225,1.40259785058748,1.09529657758731,NA,1.09502064411467,400,40,0.898613436511842,500
"B_n400_p40_lam416","random",5.73575043274032,1.32942008143211,7.24615695894806,1.84355869688279,8.08449563778918,31.1736625690979,6.88758876283388,93.7175270777597,0.234293817694399,0.214222315514986,0.0734973060427607,41,85.5636080633045,95.3568272232985,0.21912364187397,2.00067107199032,0.006,0.012,0.79155757530996,0.721116221403735,1.09529657758731,NA,1.09502064411467,400,40,0.898613436511842,500
