"cell","ref","defl_dec","defl_edge","size_dec","size_edge","implied_dec","mean_S_dec","w_ratio","w_ratio_recal","recal_slope","meanv_norm2_over_tr","R"
"B_n400_p100_lam1000","R4",1.01878735590343,1.24164810476148,0.044,0.094,4.81922344422103,4.90976391024574,0.733578474636636,0.785827965866498,4.16359200771723,0.059504992572144,500
"B_n400_p40_lam416","R0",0.79155757530996,0.721116221403735,0.006,0.012,7.24615695894806,5.73575043274032,0.793099060905299,0.839543805546463,2.51484603890533,0.0241124912493473,500
"B_n400_p40_lam416","R1",0.789687034343511,0.714919249723071,0.006,0.012,7.26332101616511,5.73575043274032,0.793099060905299,0.839543805546463,2.51484603890533,0.0241124912493473,500
"B_n400_p40_lam416","R2",0.9921778264713,0.992922521818537,0.054,0.048,5.7809701846892,5.73575043274032,0.793099060905299,0.839543805546463,2.51484603890533,0.0241124912493473,500
"B_n400_p40_lam416","R3",0.995655526431087,1.00562118411481,0.056,0.048,5.7607779804126,5.73575043274032,0.793099060905299,0.839543805546463,2.51484603890533,0.0241124912493473,500
"B_n400_p40_lam416","R4",0.933351733731443,1.01524542563238,0.036,0.05,6.14532573889309,5.73575043274032,0.793099060905299,0.839543805546463,2.51484603890533,0.0241124912493473,500
"B_n400_p160_lam416","R0",0.843643824038074,0.903837793223706,0.022,0.036,4.81070047584781,4.05851774574603,0.697525253881942,0.742801629359223,2.94249926661897,0.0855925401280201,500
"B_n400_p160_lam416","R1",0.839725151247163,0.891789401496665,0.022,0.034,4.83315015599843,4.05851774574603,0.697525253881942,0.742801629359223,2.94249926661897,0.0855925401280201,500
"B_n400_p160_lam416","R2",1.21228027744785,1.39495722667318,0.128,0.108,3.34783780718614,4.05851774574603,0.697525253881942,0.742801629359223,2.94249926661897,0.0855925401280201,500
"B_n400_p160_lam416","R3",1.22495707833862,1.42618797655255,0.13,0.114,3.31319179872857,4.05851774574603,0.697525253881942,0.742801629359223,2.94249926661897,0.0855925401280201,500
"B_n400_p160_lam416","R4",1.14476296643542,1.47958124902861,0.084,0.13,3.54529091588585,4.05851774574603,0.697525253881942,0.742801629359223,2.94249926661897,0.0855925401280201,500
