"rep","cell","a_hat","a_or","s_hat","s_or","rho_hat","rho_or"
185,"B_k25",0.44377109882948,0.431459746015117,0.397681632159211,0.411006029495565,0.744721321516632,0.724060834698644
186,"B_k25",0.294866949304649,0.289791846464983,0.377778382428869,0.381685354376113,0.615290992204784,0.604700910579417
187,"B_k25",0.471013005657925,0.454603628695837,0.390220030332085,0.409219335256612,0.770060023991278,0.743232303598596
188,"B_k25",0.427749946826652,0.413353226626604,0.384452628294436,0.399891173258524,0.743745560544882,0.718713420121186
189,"B_k25",0.359073801311093,0.341832629456282,0.385252741489063,0.400629658227947,0.681815329172304,0.649077504188743
190,"B_k25",0.351252353792114,0.338476971144972,0.369142052934172,0.380890287738452,0.689334536955281,0.664262783310304
191,"B_k25",0.336799503515752,0.335290322034591,0.364946331228542,0.366333359381275,0.678199606458771,0.675160628443916
192,"B_k25",0.388723767063256,0.35143350247329,0.357823295151243,0.394510039127141,0.735744792335702,0.665164806490835
193,"B_k25",0.327329478783144,0.333058275549527,0.338606199094677,0.332972868014443,0.695033241203286,0.707197450181764
194,"B_k25",0.443417815329428,0.429748205026007,0.418265711306105,0.43229855942722,0.72743703680014,0.705011729404799
195,"B_k25",0.397483959086498,0.382998733772594,0.364522309501269,0.379713025565104,0.737004488139833,0.710146357581309
196,"B_k25",0.318431763248991,0.301860793628243,0.372704692409754,0.386248154507226,0.649580008664552,0.615776312450337
197,"B_k25",0.396932950756668,0.365885924087457,0.354902760985454,0.386832299202331,0.74547250671249,0.687163654416538
198,"B_k25",0.489732615695778,0.496604921727765,0.41368122441766,0.405405651203437,0.763930531974823,0.774650594790021
199,"B_k25",0.353979753574811,0.343576931996543,0.392986199139745,0.402112808121091,0.669269876520105,0.649601251287061
200,"B_k25",0.43385701389125,0.421483009321569,0.391151380854827,0.404454427717765,0.742714983262155,0.721532062846905
1,"B_k40",0.536016812106064,0.502309122622479,0.395466208359242,0.437484959906758,0.804692594790343,0.754089092246536
2,"B_k40",0.369162515277037,0.350536114140106,0.406544681889961,0.422710271630858,0.672250384866557,0.638331433687062
3,"B_k40",0.322541500739132,0.286855052168009,0.380649330155115,0.408216990450273,0.646471909793494,0.57494534186765
4,"B_k40",0.386404370226144,0.365253816422223,0.392240882584472,0.412008369926522,0.701786786698816,0.663373196339403
5,"B_k40",0.288845137570341,0.272800180359146,0.384489985150195,0.39603550822476,0.600635484671122,0.567270994854407
6,"B_k40",0.425241191335231,0.391209680581505,0.381503218958499,0.416328911683082,0.744349724921067,0.684780364792418
7,"B_k40",0.490017992330436,0.435950250135642,0.403542007997383,0.461422977790208,0.771931952522057,0.686758308994409
8,"B_k40",0.540711979279442,0.500765569930418,0.40028843899509,0.449259527335461,0.803727045607278,0.744349760104015
9,"B_k40",0.441141486409206,0.388826242535458,0.386239432915904,0.438863149155041,0.752373273784246,0.66314885822882
10,"B_k40",0.490480303154305,0.471491726712951,0.426855191998246,0.447740811585719,0.754338482218128,0.725134834609577
11,"B_k40",0.515667338904169,0.489010068714371,0.412460820281327,0.443740786243071,0.780922771236828,0.740553200120565
12,"B_k40",0.335844601465738,0.295736499934972,0.38289672934169,0.414658201752306,0.659404837209535,0.580655689403518
13,"B_k40",0.344095634286408,0.336101271133255,0.411632717389253,0.41818564669634,0.64135886253877,0.626458192063072
14,"B_k40",0.402407013416338,0.392946440068894,0.438417633414769,0.446916682361317,0.676203128296511,0.66030561886021
15,"B_k40",0.46307663865283,0.421188617581497,0.378706466630589,0.424804319132488,0.774100176544888,0.70407823676238
16,"B_k40",0.341078827875502,0.335254810076297,0.385526810321873,0.390601972118152,0.662612985255571,0.651298680453511
17,"B_k40",0.347753042592642,0.351172977163548,0.389301649435019,0.386219488109231,0.666188736051711,0.672740287325529
18,"B_k40",0.344145309645683,0.323422702598749,0.392069484077726,0.40933144264742,0.659681212136805,0.619958704951017
19,"B_k40",0.424171234632816,0.416008448488577,0.425656786052599,0.433637990250719,0.705869636764529,0.692285823388762
20,"B_k40",0.399633017698232,0.375109934011757,0.422853290081942,0.44475160615046,0.6868702058082,0.644721097018846
21,"B_k40",0.387825943597245,0.376875614517516,0.410847377297817,0.420914838348131,0.686439608327475,0.667057873483164
22,"B_k40",0.491890717211273,0.44389762663431,0.405096127638102,0.457180760065899,0.771922800639605,0.696607370619795
23,"B_k40",0.516976884533889,0.488546759830288,0.38480667263724,0.420313380595761,0.802173996081321,0.758060018406787
24,"B_k40",0.419996931616808,0.404412611942377,0.399808420480907,0.415565440041535,0.724300390744777,0.697424649566792
25,"B_k40",0.389346305076153,0.352238859304448,0.400146337105291,0.433169045952195,0.697368516205016,0.630904383733256
26,"B_k40",0.381873003017453,0.356813075381322,0.397080829270172,0.419743498632651,0.693169560816914,0.647681194537073
27,"B_k40",0.399336819225479,0.388681445016518,0.415049998161176,0.425044857000513,0.693334471560371,0.67483445380399
28,"B_k40",0.518424076096274,0.48556212834621,0.369786143498943,0.411988754841677,0.81411711913872,0.762511733769616
29,"B_k40",0.374891696729551,0.35789611680054,0.378433684775545,0.39454557104174,0.703774324813658,0.671868969497172
30,"B_k40",0.381963050798885,0.368125579058163,0.392431207380121,0.405439986612695,0.697484483909799,0.672216537663408
31,"B_k40",0.442657387038149,0.41094029312379,0.418117053308235,0.449327840283613,0.726970731762725,0.674882142150367
32,"B_k40",0.484491881583779,0.457429298216653,0.402037634104328,0.432579564577218,0.769551971593006,0.726566598301524
33,"B_k40",0.381102046687355,0.368148413451865,0.388341443664298,0.40064272429365,0.700422885519929,0.676615558197407
34,"B_k40",0.402749103752801,0.383895730728057,0.380803710529807,0.399802919518761,0.72662617326539,0.692611561770381
35,"B_k40",0.435069134776536,0.417628365646669,0.408523314074952,0.426336719489745,0.728996886557101,0.699773332462958
36,"B_k40",0.365334923886152,0.355810877401691,0.390457099763549,0.399155324265256,0.683225547768614,0.665414297184897
37,"B_k40",0.579162577954169,0.538300500014215,0.317321263755884,0.382563259891219,0.87699366682983,0.815118495796797
38,"B_k40",0.489252591803019,0.440458344423695,0.404554441425832,0.457196720778788,0.770660602224641,0.693800909091756
39,"B_k40",0.436949533623533,0.388248312754456,0.386684566178955,0.435560668906351,0.748867024615537,0.665400318369337
40,"B_k40",0.387257992400939,0.349161915030675,0.369757957658887,0.405925679185967,0.723259829476818,0.652109942416446
41,"B_k40",0.360457121274808,0.316537766272997,0.367231046325291,0.405699174494835,0.700494094994875,0.615143447112136
42,"B_k40",0.430615273642728,0.409221824144741,0.375152628638016,0.398379853044886,0.753994335314993,0.716535051537445
43,"B_k40",0.446748829940812,0.429416279702977,0.396426872987798,0.415139062732505,0.747977029359266,0.718957704474109
44,"B_k40",0.429704122167863,0.411107160566082,0.390354062295952,0.409893680227324,0.7401852755693,0.708151146879724
45,"B_k40",0.477017640843127,0.449203146742776,0.412913939777307,0.443012736040792,0.756082236710677,0.711995722687425
46,"B_k40",0.404927378725851,0.373082346765449,0.40373702268717,0.433335122119215,0.708146876949208,0.652455508289313
47,"B_k40",0.412948105981895,0.366916452068846,0.399791584411144,0.442415829736253,0.718459202449329,0.638371983550103
48,"B_k40",0.530689215884647,0.465676103709082,0.437471435609506,0.506120605453712,0.771621011315886,0.677092082021407
49,"B_k40",0.390051513622575,0.352517422363617,0.387341269563084,0.421787753871678,0.709567673191149,0.641287005459313
50,"B_k40",0.299636680986346,0.288271089991843,0.387968371443869,0.396486287919565,0.611246870423735,0.588061518406627
51,"B_k40",0.489122678678545,0.431869706829484,0.43418218408184,0.491165674792903,0.747859766027911,0.660321003263691
52,"B_k40",0.327158350275474,0.30535629380022,0.388038564094898,0.405418360729251,0.64458410179259,0.601628575887476
53,"B_k40",0.307539728774242,0.291997565221618,0.384305649013703,0.396243534386398,0.624812987060855,0.593236755679601
54,"B_k40",0.395528878721161,0.372548019303412,0.415056678650737,0.43580169080455,0.689871723106725,0.649789074435773
