"rep","cell","dep","rel","grouping","prev","hl","edge"
91,"k25_prev50","null",0,"pc1",0.49,0.670876729067405,0.266907738188893
92,"k25_prev50","null",0,"fitted",0.4875,0.10754542797893,0.111936851885277
92,"k25_prev50","null",0,"pc1",0.4875,0.701998208807292,0.942127213379715
93,"k25_prev50","null",0,"fitted",0.49,0.375970364265504,0.409422013070571
93,"k25_prev50","null",0,"pc1",0.49,0.639292741791968,0.205944287676025
94,"k25_prev50","null",0,"fitted",0.5025,0.280859665253863,0.0598197295514903
94,"k25_prev50","null",0,"pc1",0.5025,0.589685342845079,0.697887414995092
95,"k25_prev50","null",0,"fitted",0.49,0.539141326921656,0.483610419595231
95,"k25_prev50","null",0,"pc1",0.49,0.949009269621224,0.723161380939367
96,"k25_prev50","null",0,"fitted",0.4825,0.87690528195216,0.738193265628673
96,"k25_prev50","null",0,"pc1",0.4825,0.599907125445444,0.846679297762916
97,"k25_prev50","null",0,"fitted",0.5275,0.824725849276575,0.148268793698841
97,"k25_prev50","null",0,"pc1",0.5275,0.829404015842825,0.776232711997872
98,"k25_prev50","null",0,"fitted",0.505,0.193364414062447,0.0898261315114675
98,"k25_prev50","null",0,"pc1",0.505,0.918348938300461,0.80371114546992
99,"k25_prev50","null",0,"fitted",0.4975,0.124542351466757,0.0377585253117747
99,"k25_prev50","null",0,"pc1",0.4975,0.627698791724991,0.326304469707183
100,"k25_prev50","null",0,"fitted",0.4675,0.605051765180374,0.278079398242028
100,"k25_prev50","null",0,"pc1",0.4675,0.715559545599563,0.636520937158479
101,"k25_prev50","null",0,"fitted",0.515,0.528168590365033,0.346868841732279
101,"k25_prev50","null",0,"pc1",0.515,0.551299504986793,0.384945974321795
102,"k25_prev50","null",0,"fitted",0.5025,0.604470733955154,0.357729121964323
102,"k25_prev50","null",0,"pc1",0.5025,0.0295637159283603,0.320518651258043
103,"k25_prev50","null",0,"fitted",0.4875,0.685907044795556,0.118484347140194
103,"k25_prev50","null",0,"pc1",0.4875,0.757743768672361,0.541900670047131
104,"k25_prev50","null",0,"fitted",0.54,0.352509240369252,0.981103761550013
104,"k25_prev50","null",0,"pc1",0.54,0.0478607033947911,0.0274325380581582
105,"k25_prev50","null",0,"fitted",0.505,0.691448348820321,0.876971372721725
105,"k25_prev50","null",0,"pc1",0.505,0.0716759771519924,0.65826908110907
106,"k25_prev50","null",0,"fitted",0.5225,0.663874676734509,0.509443638872351
106,"k25_prev50","null",0,"pc1",0.5225,0.404876302889571,0.0760088010582234
107,"k25_prev50","null",0,"fitted",0.4975,0.297492246701387,0.382460312732484
107,"k25_prev50","null",0,"pc1",0.4975,0.63374863068243,0.202764394445947
108,"k25_prev50","null",0,"fitted",0.475,0.161161521103571,0.169975185814714
108,"k25_prev50","null",0,"pc1",0.475,0.601015796803112,0.19221378825967
109,"k25_prev50","null",0,"fitted",0.4875,0.201399053133504,0.0770147183683638
109,"k25_prev50","null",0,"pc1",0.4875,0.76838587257387,0.864714668229319
110,"k25_prev50","null",0,"fitted",0.4975,0.352592706765738,0.616334969074052
110,"k25_prev50","null",0,"pc1",0.4975,0.638378266912026,0.421341918208644
111,"k25_prev50","null",0,"fitted",0.4975,0.334547739773734,0.504710893662436
111,"k25_prev50","null",0,"pc1",0.4975,0.254187706655104,0.397406191813391
112,"k25_prev50","null",0,"fitted",0.52,0.0511824872825509,0.842887271158858
112,"k25_prev50","null",0,"pc1",0.52,0.865901265474471,0.644109651381634
113,"k25_prev50","null",0,"fitted",0.5025,0.871899125629817,0.473627699680881
113,"k25_prev50","null",0,"pc1",0.5025,0.0212888165180648,0.437372482154303
114,"k25_prev50","null",0,"fitted",0.5125,0.983839194005356,0.813793870391528
114,"k25_prev50","null",0,"pc1",0.5125,0.0907877940904429,0.0860391302932824
115,"k25_prev50","null",0,"fitted",0.535,0.822892282577186,0.913121704767484
115,"k25_prev50","null",0,"pc1",0.535,0.107347414284116,0.153606274612353
116,"k25_prev50","null",0,"fitted",0.505,0.10936343799645,0.910044648002788
116,"k25_prev50","null",0,"pc1",0.505,0.617389547441504,0.378075284341277
117,"k25_prev50","null",0,"fitted",0.525,0.488924083590602,0.356822710534905
117,"k25_prev50","null",0,"pc1",0.525,0.445843989454566,0.712065315092687
118,"k25_prev50","null",0,"fitted",0.5075,0.886508637289186,0.587589684118631
118,"k25_prev50","null",0,"pc1",0.5075,0.583871560656531,0.887897881654664
119,"k25_prev50","null",0,"fitted",0.4975,0.885695538758177,0.747824530842486
119,"k25_prev50","null",0,"pc1",0.4975,0.890824633094171,0.829103659410296
120,"k25_prev50","null",0,"fitted",0.49,0.262092865208006,0.0781963685326688
120,"k25_prev50","null",0,"pc1",0.49,0.628506432809536,0.823519012285393
121,"k25_prev50","null",0,"fitted",0.5075,0.1728548241133,0.325634974585226
121,"k25_prev50","null",0,"pc1",0.5075,0.813094006725314,0.367127082021297
122,"k25_prev50","null",0,"fitted",0.4975,0.215875834522999,0.489950466165724
122,"k25_prev50","null",0,"pc1",0.4975,0.273294374668082,0.801005181661555
123,"k25_prev50","null",0,"fitted",0.5125,0.544438514104188,0.649990671551935
123,"k25_prev50","null",0,"pc1",0.5125,0.969885563002954,0.683601550750827
124,"k25_prev50","null",0,"fitted",0.51,0.321483449206521,0.235090784538893
124,"k25_prev50","null",0,"pc1",0.51,0.923513055068389,0.758728143597612
125,"k25_prev50","null",0,"fitted",0.5025,0.2599569606952,0.532386384659436
125,"k25_prev50","null",0,"pc1",0.5025,0.440722354482606,0.449956022415424
126,"k25_prev50","null",0,"fitted",0.5,0.490859587836593,0.139933301863622
126,"k25_prev50","null",0,"pc1",0.5,0.615270500838028,0.952335932298982
127,"k25_prev50","null",0,"fitted",0.4975,0.062848723852909,0.00959051236769659
127,"k25_prev50","null",0,"pc1",0.4975,0.506285179623906,0.941608046161431
128,"k25_prev50","null",0,"fitted",0.505,0.39036225576529,0.266765162169493
128,"k25_prev50","null",0,"pc1",0.505,0.31364067301039,0.341959297308766
129,"k25_prev50","null",0,"fitted",0.505,0.253700227593229,0.544647264781846
129,"k25_prev50","null",0,"pc1",0.505,0.342039157984455,0.174967419190133
130,"k25_prev50","null",0,"fitted",0.495,0.276811580268544,0.186538559283724
130,"k25_prev50","null",0,"pc1",0.495,0.50186017354844,0.312305099109829
131,"k25_prev50","null",0,"fitted",0.4825,0.233280960078932,0.749971880941062
131,"k25_prev50","null",0,"pc1",0.4825,0.943434945652463,0.84111243452015
132,"k25_prev50","null",0,"fitted",0.545,0.0146800045713855,0.598338548172882
132,"k25_prev50","null",0,"pc1",0.545,0.310241986042675,0.948043498464782
133,"k25_prev50","null",0,"fitted",0.4825,0.401239431909081,0.503312123024464
133,"k25_prev50","null",0,"pc1",0.4825,0.671346025500886,0.356636450599265
134,"k25_prev50","null",0,"fitted",0.5325,0.573909239992379,0.63853859137984
134,"k25_prev50","null",0,"pc1",0.5325,0.394763802967537,0.459490606499658
135,"k25_prev50","null",0,"fitted",0.48,0.683399348339417,0.364611801784855
135,"k25_prev50","null",0,"pc1",0.48,0.275030142123294,0.350402295705591
136,"k25_prev50","null",0,"fitted",0.5,0.530947563271203,0.983798909450583
136,"k25_prev50","null",0,"pc1",0.5,0.162028551647803,0.0640784930207808
137,"k25_prev50","null",0,"fitted",0.52,0.406694898118507,0.945346002057223
