"rep","cell","dep","rel","calm_hl","calm_edge","deg","rho_hat","grp"
214,"S_k25_sparse5","quadratic",1,0.154664715086239,0.0584620702503137,2,0.23145669870588,0.383360958259218
215,"S_k25_sparse5","quadratic",1,0.0954671502094044,0.869146709662189,2,0.489391061686245,0.884600244135197
216,"S_k25_sparse5","quadratic",1,0.620642356873044,0.110753300984426,2,0.54298035929485,1
217,"S_k25_sparse5","quadratic",1,0.600571787377776,0.877819995315687,2,0.485891453970785,0.119029508250827
218,"S_k25_sparse5","quadratic",1,0.0937305920240634,0.192177495325285,2,0.441812471858363,0.271669019072348
219,"S_k25_sparse5","quadratic",1,0.832358710005515,0.182754271803916,2,0.432086555007963,0.59491018183656
220,"S_k25_sparse5","quadratic",1,0.754054514327483,0.619653189869442,2,0.49310563232102,0.192553079045966
221,"S_k25_sparse5","quadratic",1,0.750466770851778,0.361463244936075,2,0.412724651491511,0.210017429668376
222,"S_k25_sparse5","quadratic",1,0.304796342350765,0.150215995563533,2,0.441763248689136,0.121916347352034
223,"S_k25_sparse5","quadratic",1,0.397763771412806,0.501069377805521,2,0.307855031932638,0.142109256670162
224,"S_k25_sparse5","quadratic",1,0.35705636441563,0.0984241205721897,2,0.460921894693182,0.237352233148457
225,"S_k25_sparse5","quadratic",1,0.376289900765186,0.385374140881549,2,0.464013019116545,0.411893452865217
226,"S_k25_sparse5","quadratic",1,0.12573668860596,0.24478040593761,2,0.465345520713225,0.513066775489305
227,"S_k25_sparse5","quadratic",1,0.343933827709987,0.204041805573256,2,0.412626948379598,0.558282711437668
228,"S_k25_sparse5","quadratic",1,0.4701324302515,0.26938391600188,2,0.24621957606726,0.356619110298543
229,"S_k25_sparse5","quadratic",1,0.689086170976015,0.187588111325782,2,0.47819747780663,0.778936265035645
230,"S_k25_sparse5","quadratic",1,0.2373813553597,0.259210745543648,2,0.448331165224944,0.546891592637407
231,"S_k25_sparse5","quadratic",1,0.441986748088433,0.654124239012809,2,0.220431319047983,0.557530318145387
232,"S_k25_sparse5","quadratic",1,0.815958680319665,0.884126793953211,2,0.544049952497618,0.0984366848722238
233,"S_k25_sparse5","quadratic",1,0.0476945358360191,0.0137979061226088,2,0.610394762101908,0.303810501162037
