"rep","cell","dep","rel","deg","rho_hat","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge"
10,"B_p100","null",0,2,0.62779504248854,0.860304272532757,0.434359171232997,0.758707806612898,0.8025,0.6825
10,"B_p100","offindex",0.4,2,0.604669909825665,0.697236679961083,0.739914650444321,0.954855979902675,0.6075,0.93
10,"B_p100","offindex",0.7,2,0.614785484667795,0.133779835035467,0.825656808045228,0.569496537130823,0.0775,0.4175
10,"B_p160","index",0.4,2,0.747110704226723,0.486752047518415,0.313163325139473,0.710294856439356,0.4825,0.7425
10,"B_p160","index",0.7,2,0.743230867611084,0.794190987617737,0.814566297726886,0.819410062371872,0.745,0.78
10,"B_p160","null",0,3,0.793497618617325,0.339470696758297,0.43433039405628,0.43433039405628,0.3075,0.46
10,"B_p160","offindex",0.4,2,0.714003170043022,0.820422727170808,0.193729637266979,0.559460108974852,0.77,0.51
10,"B_p160","offindex",0.7,2,0.751011304321595,0.536050198212694,0.454127501805558,0.519220988172013,0.4925,0.47
10,"B_p40","index",0.4,2,0.611628530810608,0.335108967477864,0.280457462986536,0.548663005428843,0.3225,0.5475
10,"B_p40","index",0.7,2,0.61745120287853,0.971365354692883,0.245598439571826,0.528990826416208,0.98,0.4925
10,"B_p40","null",0,2,0.674408230104105,0.0324677579677131,0.937575684944898,0.171264577222413,0.065,0.245
10,"B_p40","offindex",0.4,2,0.686044664644415,0.634456523290447,0.222012978368792,0.15476165262023,0.6725,0.155
10,"B_p40","offindex",0.7,2,0.68824410083104,0.0113192955936775,0.735550113664355,0.229519763959627,0.03,0.265
100,"A_p5","index",0.4,3,0.940592799302855,0.612370678027432,0.219902314103834,0.219902314103834,0.6075,0.2225
100,"A_p5","index",0.7,3,0.902027843665511,0.157476322086238,0.0191435765020023,0.0191435765020023,0.1575,0.0075
100,"A_p5","null",0,3,0.95328079432525,0.813051433883808,0.562236795160229,0.562236795160229,0.8025,0.6025
100,"A_p5","offindex",0.4,3,0.951242409300353,0.131499706408052,0.555457396617119,0.555457396617119,0.135,0.595
100,"A_p5","offindex",0.7,3,0.940571499988318,0.115183906774131,0.0706643780503182,0.0706643780503182,0.1025,0.0775
100,"B_p100","index",0.4,2,0.696233947812192,0.621547481367403,0.486923149115219,0.245036013091622,0.52,0.185
100,"B_p100","index",0.7,2,0.684815469132309,0.30402417566258,0.403760330209864,0.475176560128463,0.25,0.345
100,"B_p100","null",0,2,0.70718908697002,0.920671821428335,0.50338614062299,0.597587154351622,0.905,0.4825
100,"B_p100","offindex",0.4,2,0.666578587093231,0.437243251444986,0.346458270844705,0.304796922844188,0.3925,0.2175
100,"B_p100","offindex",0.7,2,0.664665196943075,0.362101437220493,0.403064328867174,0.345302157940317,0.3225,0.24
100,"B_p160","index",0.4,2,0.306428753126969,0.10958653911699,0.313152688291448,0.598375702347214,0.0275,0.43
100,"B_p160","index",0.7,2,0.000827568733586417,0.341472683117965,0.258915430550405,0.504753262810996,0.15,0.3775
100,"B_p160","null",0,2,0.47312585909754,0.0103956515231957,0.371334923829234,0.222019672347018,0.005,0.0875
100,"B_p160","offindex",0.4,2,0.530531733584,0.29291049091841,0.774248345331397,0.340827163363972,0.1775,0.2025
100,"B_p160","offindex",0.7,2,0.547838234948138,0.200740561752553,0.266624191942942,0.512959761945629,0.115,0.355
100,"B_p40","index",0.4,3,0.771173453470358,0.457751493031064,0.683961897410986,0.683961897410986,0.4875,0.6775
100,"B_p40","index",0.7,2,0.71974484142729,0.647375079745668,0.865815053691322,0.618361669955486,0.6575,0.5925
