"rep","case","recal","ece","slope","intercept","brier","mae_true","auc","hl_heldout_p","sc_edge_p","sc_hl_p"
117,"correct","oracle",0.00629045890448383,1.02651611709104,-0.000691747685655273,0.217635336094877,0,0.707036670223986,0.535667855950744,NA,NA
117,"correct","none",0.0592500794142251,1.69738375367021,0.116886969732593,0.224322232220448,0.0648503673740336,0.699816332028396,0.040508995986962,0.005,0.205
117,"correct","linear",0.0250366087126624,1.1764620206613,-0.0976012395666864,0.220771665671566,0.0423833950241268,0.699816332028396,0.26193816819503,0.005,0.205
117,"correct","flexible",0.0299636607600375,1.12197185645785,-0.0993429686128061,0.221440931039888,0.0485468890862531,0.698128493099728,0.158325714798528,0.005,0.205
117,"index","oracle",0.00489693744716718,1.01292240910144,-0.000254653794572272,0.228143969787334,0,0.644729680507982,0.263629464406004,NA,NA
117,"index","none",0.038628987814702,1.81954544714793,0.139103197329078,0.238260644362996,0.0653897643670488,0.630097533049685,5.98432589939891e-05,0.805,0.375
117,"index","linear",0.0253035977557614,0.988445572215789,0.00295050508422631,0.235491626180727,0.0670237234920364,0.630097533049685,0.00119458252217313,0.805,0.375
117,"index","flexible",0.0270055021108934,0.971129009430021,0.00217579763820694,0.235518788708085,0.0666571099863661,0.630097533049685,0.00204181803982706,0.805,0.375
117,"offindex","oracle",0.00805251659364876,0.990337996460377,-0.0112859405492921,0.213345655283003,0,0.716940352463172,0.642740020032968,NA,NA
117,"offindex","none",0.0611905383057536,1.9432952645503,0.1283042432042,0.231638685755783,0.109226091049963,0.673958705628351,0.00351358072009554,0.815,0.895
117,"offindex","linear",0.0125978690227199,1.03050105504526,-0.0404356184459543,0.226700278136896,0.0842302344152,0.673958705628351,0.203857173242144,0.815,0.895
117,"offindex","flexible",0.0186552896395541,1.02536030027132,-0.0418239758891706,0.22684776320627,0.0847038485457153,0.673958705628351,0.172430048744032,0.815,0.895
118,"correct","oracle",0.0135926438649973,1.02028459370116,-0.025874741679016,0.218675010647174,0,0.70184621200983,0.38497696850367,NA,NA
118,"correct","none",0.0638495322709024,2.00029602039939,0.0665008224053715,0.226902302576973,0.0756657181169025,0.694144140359721,6.63847219685436e-05,0.045,0.23
118,"correct","linear",0.0232242579630481,1.24758049497488,-0.0263950943945121,0.221698920567203,0.0449581761989204,0.694144140359721,0.379523683815839,0.045,0.23
118,"correct","flexible",0.0299948114123623,1.21608587344533,-0.0313890084514569,0.222871465524904,0.0502620848991603,0.692987764932274,0.246995553949883,0.045,0.23
118,"index","oracle",0.00952216756800596,1.02837586144656,-0.0289678262546544,0.228116647610008,0,0.643695108106853,0.745744369369427,NA,NA
118,"index","none",0.0633579113302987,1.93850946107647,0.379652967193576,0.239953200920139,0.0798358349510498,0.631741333663299,0.000709550962574484,0.255,0.47
118,"index","linear",0.0425120684069878,0.788281957012799,-0.0161125862854374,0.23611046488027,0.0671301328107304,0.631741333663299,0.0297142731645517,0.255,0.47
118,"index","flexible",0.0277693721539866,0.786305889554105,-0.0184840022519032,0.234524122473721,0.0556137971668064,0.631863260640412,0.00577622881853667,0.255,0.47
118,"offindex","oracle",0.00893735395381565,1.02714802187922,-0.0206302173121746,0.212079382999849,0,0.719315655643458,0.23530265964954,NA,NA
118,"offindex","none",0.0634375417037376,1.88725225811577,0.0968668504771041,0.230750537592608,0.105560874061291,0.677495044966626,5.34765223508166e-07,0.05,0.115
118,"offindex","linear",0.0251939960224332,0.870370808089584,-0.0331983553585173,0.226296844637502,0.0864672958218948,0.677495044966626,0.00739905163466435,0.05,0.115
118,"offindex","flexible",0.0363386594563425,0.772014057096566,-0.0282539580113723,0.227409035367943,0.0923948926182207,0.674305979577105,3.80410551135068e-05,0.05,0.115
119,"correct","oracle",0.00980926077507872,1.04014355730089,-0.00840589728774973,0.217728722185038,0,0.706151507432683,0.591818003975902,NA,NA
119,"correct","none",0.0779652591020028,2.30223678468646,-0.102019605324612,0.227566450520243,0.0789204897740284,0.701839442595189,0.000115228643341792,0.685,0.745
119,"correct","linear",0.0146162838724952,0.952256151933263,0.0626161873513778,0.219205029449166,0.031786592579991,0.701839442595189,0.0933491993127518,0.685,0.745
119,"correct","flexible",0.0494423022389872,0.817062152590803,0.0401856647363389,0.223582042643059,0.0637240765803908,0.697181595765992,0.000264509342436595,0.685,0.745
119,"index","oracle",0.0066111204259491,1.03096489567089,-0.0225528993486668,0.227841810622913,0,0.646028647179179,0.422500883479323,NA,NA
119,"index","none",0.0383598291623995,1.78836370790662,0.10298152525676,0.23539872984826,0.0541615478376863,0.641145409116453,0.00565638720097244,0.075,0.095
119,"index","linear",0.0439951858917621,0.883538088256517,0.0675716736473953,0.233447362743943,0.0632200650450344,0.641145409116453,0.00236057636233643,0.075,0.095
119,"index","flexible",0.0279329995935251,0.861774060457448,0.0602428674439698,0.231245675104705,0.0496060754650496,0.637019251372378,0.000703483021499646,0.075,0.095
119,"offindex","oracle",0.0122554494744724,1.0068589103896,-0.0361653777969332,0.213179638007124,0,0.717202485818531,0.806514729294616,NA,NA
119,"offindex","none",0.060886968072066,1.89849698685144,-0.0946592733733222,0.23144471059796,0.106073897215403,0.675774953726139,0.00160758063195437,0.015,0.34
119,"offindex","linear",0.0327379575074683,0.90477386596607,-0.0155821964701978,0.226794235993219,0.0853948445028359,0.675774953726139,0.0389283513515573,0.015,0.34
119,"offindex","flexible",0.02899953691558,0.801251924356698,0.00412986656427957,0.2261008252567,0.0894872259589002,0.675774953726139,0.0258656355496569,0.015,0.34
120,"correct","oracle",0.0119805914206836,1.03651197822745,0.0163871879659263,0.217587862006664,0,0.706178557855786,0.240026165380591,NA,NA
120,"correct","none",0.0707963521482315,1.95908878982597,-0.167486706644576,0.225751646832238,0.0721599715501616,0.700390129012901,0.000276724591155547,0.705,0.5
120,"correct","linear",0.0338070723255653,0.967240619896795,-0.149942114646204,0.220574312840766,0.0441415741960616,0.700390129012901,0.000721289028151151,0.705,0.5
120,"correct","flexible",0.0328718008578095,0.899033918455841,-0.122419971880611,0.222974536704041,0.0582478866801726,0.693393929392939,0.130141746118562,0.705,0.5
120,"index","oracle",0.00607045912518805,0.984330540500452,-0.00350850909284301,0.229319917581718,0,0.641174462263571,0.66035349421805,NA,NA
120,"index","none",0.0417844079750552,1.69489876329473,-0.0457193050608182,0.236266388308491,0.0496069013405679,0.634320548015535,0.000449285449647128,0.015,0.055
120,"index","linear",0.0382299033305667,1.34378489751498,-0.0129728963382054,0.234809611190288,0.047854530457957,0.634320548015535,0.014800506776064,0.015,0.055
120,"index","flexible",0.0404058606480562,0.851605568010399,-0.0154952395563562,0.236269796351433,0.0640981816071098,0.596947259567818,0.120448290913911,0.015,0.055
120,"offindex","oracle",0.0111391194078191,1.01356605147576,-0.00155009284902092,0.21172853705878,0,0.722880289347719,0.578201754946031,NA,NA
120,"offindex","none",0.0813029102148791,2.43126721285192,0.139222367420225,0.232161683062514,0.112361700030052,0.686620787232557,1.41067117104497e-07,0.005,0.02
120,"offindex","linear",0.0486287709110732,1.53085337648842,0.0532308768874285,0.226451975078208,0.0904646277449147,0.686620787232557,0.00393571118930937,0.005,0.02
120,"offindex","flexible",0.0492307945562986,1.52748158469331,0.0241536940768426,0.225925380786003,0.0891408899903776,0.686626207661909,0.016647274646958,0.005,0.02
121,"correct","oracle",0.00725880224018942,1.01585939308027,0.0151990715626384,0.218396471546479,0,0.704449195267234,0.889720703831112,NA,NA
121,"correct","none",0.0685276740347946,1.92275443276591,-0.0924002951634897,0.224816738682391,0.0662048609914857,0.703315801513835,0.000225918770093214,0.68,0.84
121,"correct","linear",0.0308008436491214,1.26781981371781,-0.0263985611430251,0.219797390012308,0.031189881523402,0.703315801513835,0.267558407263167,0.68,0.84
121,"correct","flexible",0.0369290766137426,1.23053239746346,-0.0367004837142367,0.220750502452023,0.0373316061630026,0.703227306535993,0.349781562525506,0.68,0.84
121,"index","oracle",0.0096809678804805,1.01960424349383,-0.014100154419179,0.227943535678689,0,0.646580406565612,0.938332219823684,NA,NA
121,"index","none",0.0271984749151901,1.52893524947975,-0.010031045238217,0.235692306632812,0.0555460382540698,0.63529853166772,0.0286172708526235,0.44,0.745
