"rep","cell","kappa","hbar","sd_eh","law_obs","tr5","normD2","g_obs","nchanged","floor_est","S_dec","v2","p_none","p_kappa","p_obs","p_obs_sh","p_law"
11,"A_k01",0.01,0.00731756743946817,0.44355993975461,0.136081422350133,7.20550023692853,2.31856583971513,0.321777220661568,36,0.72,6.99875525174889,6.99875525174889,0.455617921263217,0.457488328133452,0.660508002544053,0.606604912247716,0.459113613329687
12,"A_k01",0.01,0.0074976528507867,0.359691390470602,0.217250395331732,7.58355741470501,5.69134004072434,0.750484202794913,70,1.4,9.96927477287771,9.96927477287771,0.229918977893486,0.231513183226401,0.647189664429366,0.568025474424783,0.234684061940288
13,"A_k01",0.01,0.00747194741071869,0.381947518135758,0.191350778183417,7.46873636382007,1.14009604160401,0.152649121091868,34,0.68,9.0264220031103,9.0264220031103,0.288542113293967,0.290281702326617,0.396211256808616,0.332864860849958,0.293117581631606
14,"A_k01",0.01,0.00747751374727869,0.400360259071506,0.174414473541708,7.41598007202454,3.43359723689159,0.462999792818245,52,1.04,8.21899709031806,8.21899709031806,0.353160820367311,0.355000973181997,0.64132690469658,0.569471830503776,0.3575696851404
15,"A_k01",0.01,0.0074368003474741,0.382577401965027,0.188931173374207,7.48970966569417,2.82213019337923,0.376801013570086,44,0.88,6.00166776878382,6.00166776878382,0.60172527219247,0.603439666353514,0.794628613298939,0.748740927289237,0.606163622034804
16,"A_k01",0.01,0.00735712964307626,0.368761228462093,0.199019814066675,7.42047540369547,3.13335666525818,0.422258210531598,54,1.08,10.5848284941484,10.5848284941484,0.178836316833919,0.180247265928078,0.430957753778761,0.347094197933916,0.182703046599042
17,"A_k01",0.01,0.00750230545178518,0.395192819830585,0.180194444782418,7.46476047984279,2.18432952591228,0.29261883643965,42,0.84,5.5239370240927,5.5239370240927,0.656646014971201,0.658238519264141,0.802278026303433,0.756570570485315,0.660577472212254
18,"A_k01",0.01,0.00732310890059547,0.434884876949187,0.141779153326947,7.21718858702116,1.02436039205786,0.141933438444437,38,0.76,3.11821082010013,3.11821082010013,0.903337995682706,0.903969876309916,0.933458961651642,0.912463107535569,0.90456523572772
19,"A_k01",0.01,0.00751161871010282,0.425626391057599,0.155732758767802,7.34209987994683,1.33441149634133,0.181747935626148,36,0.72,7.43886893879569,7.43886893879569,0.422933309650227,0.424808860111134,0.551880350421357,0.485688184223949,0.426944261261362
20,"A_k01",0.01,0.00747942635919879,0.399684438418392,0.175094339581144,7.38443281112809,4.19794313493899,0.568485521137498,52,1.04,5.40611157649134,5.40611157649134,0.663765362110376,0.665340374496283,0.881371034532384,0.848819185661158,0.667544033591294
21,"A_k01",0.01,0.00744177111583133,0.445268391541178,0.139662202817053,7.13147748674776,2.09080289687186,0.293179485002532,36,0.72,7.7477748889829,7.7477748889829,0.368434485097571,0.370281209816914,0.566573637290587,0.505153594657602,0.371978294750571
22,"A_k01",0.01,0.00746600163717719,0.365161312281629,0.209014611738068,7.50455167451135,3.78733978481595,0.504672357401358,64,1.28,6.4444873171685,6.4444873171685,0.551027711024766,0.552825947499049,0.804013419252037,0.74251098794866,0.55617757086387
23,"A_k01",0.01,0.00742181366506524,0.400993068164132,0.171283830666401,7.38588392664866,3.8367132814152,0.519465688808367,48,0.96,13.4816212877584,13.4816212877584,0.067028773818578,0.0677949445370042,0.292898129747978,0.230495958040879,0.068839955343173
24,"A_k01",0.01,0.00741768381931707,0.347297390335507,0.228088610432067,7.51120402400188,2.63016452815874,0.350165502062534,42,0.84,7.84636348140591,7.84636348140591,0.399148032933638,0.401020950622323,0.626679540861359,0.564394120446186,0.405009500590071
25,"A_k01",0.01,0.00743838066817684,0.393786833096163,0.178403932522296,7.37792807156416,1.31071263796206,0.177653214459189,46,0.92,1.59631986206781,1.59631986206781,0.988606531443251,0.988698717525086,0.99351262270958,0.990443086509653,0.988831035563078
26,"A_k01",0.01,0.00740605932044013,0.330381146939493,0.251254508751113,7.55240843183982,2.96297701848345,0.392322137398182,66,1.32,7.27555800667016,7.27555800667016,0.462597082042516,0.464472287815468,0.7001188713661,0.610947931940268,0.469053538114593
27,"A_k01",0.01,0.0074165278495597,0.332021874072431,0.249481229052491,7.55268610441393,7.55780795059202,1.00067814895354,64,1.28,6.07743661798726,6.07743661798726,0.598907877812521,0.600628829521666,0.921224646444461,0.899307215862983,0.60478073439663
28,"A_k01",0.01,0.00734691320034267,0.480969160614798,0.116666282871098,7.0433830066985,2.77889531536094,0.39453985573667,38,0.76,5.48741734544836,5.48741734544836,0.620481378008652,0.622152351196609,0.812335894241695,0.773795758527287,0.623158247824679
29,"A_k01",0.01,0.00738247593972991,0.472920229226855,0.121842359879438,7.05544998637022,1.0390330116925,0.1472667248297,32,0.64,3.55786884879485,3.55786884879485,0.854224487698593,0.855105202574572,0.898251806844442,0.873399406013714,0.855696421020204
30,"A_k01",0.01,0.00744549444038962,0.392017330568689,0.180362629241772,7.37965529003263,4.3251442155033,0.586090277325701,40,0.8,10.8795787733725,10.8795787733725,0.160199415059961,0.161527901125596,0.490203701109086,0.434958614256275,0.163499240640201
31,"A_k01",0.01,0.00752231225502684,0.382972632657834,0.192902225593153,7.45370833811613,2.13101821747452,0.285900402968158,52,1.04,6.63198804484458,6.63198804484458,0.524102330021763,0.525933151090899,0.699955999108917,0.624362068107613,0.528944540829169
32,"A_k01",0.01,0.00740132717400844,0.315208059832291,0.275673221713024,7.63125368021916,2.32855239340865,0.305133663613417,42,0.84,6.95663436989428,6.95663436989428,0.505594659926366,0.507443238146607,0.694202833826741,0.636454693257357,0.512569905440712
33,"A_k01",0.01,0.00736975432063662,0.416985173395742,0.156183373341272,7.26976649177083,1.33755955357168,0.183989342035367,44,0.88,4.67287186581941,4.67287186581941,0.742766887971153,0.744104169004302,0.825685496014298,0.775379539323531,0.745629145447088
34,"A_k01",0.01,0.00743482966745098,0.4719540815104,0.124083078076895,7.1929508409789,4.0293935506881,0.560186443612582,46,0.92,7.24738168300753,7.24738168300753,0.426953677806111,0.428826348324068,0.739512767994284,0.688560442615461,0.430146105448253
35,"A_k01",0.01,0.00740578437799128,0.337660951215399,0.240519588256839,7.47234021778826,2.21001729357409,0.295759725756737,50,1,15.251665805404,15.251665805404,0.0376344209216997,0.038139431612191,0.125746104877841,0.0799380270872119,0.0393191867485511
36,"A_k01",0.01,0.00735269658652811,0.402718864568347,0.166670733486249,7.4131925523785,1.7447782818827,0.235361252193955,56,1.12,4.39064331792549,4.39064331792549,0.78580647958058,0.786984525963518,0.87245553774147,0.823033773628809,0.788495250243449
37,"A_k01",0.01,0.0074597782879175,0.364888820699298,0.208978077057018,7.54248194511907,4.6283717922252,0.613640420474634,48,0.96,8.6843606907785,8.6843606907785,0.32440711550748,0.326208532884983,0.680505719614766,0.6256223984451,0.329578746537752
38,"A_k01",0.01,0.00743089444542629,0.416608830591848,0.159072551274711,7.28709355658757,4.55517401762069,0.625101624158893,44,0.88,3.11322253659239,3.11322253659239,0.906139638911,0.906755401133516,0.978182798137867,0.972063840565955,0.907480162083653
